User_ID,Registration_Date,Age_Group,Gender,State,City,Income_Group,User_Type,KYC_Status
U00042,2020-08-21,35-44,Male,Tamil Nadu,Chennai,50K-1L,Regular,Verified
U00043,2022-03-03,55+,Male,Rajasthan,Udaipur,25K-50K,Regular,Verified
U00044,2025-03-22,18-24,Female,Delhi,New Delhi,25K-50K,New,Verified
U00045,2024-06-01,35-44,Female,Gujarat,Surat,25K-50K,Regular,Pending
U00046,2025-12-06,25-34,Male,Delhi,Delhi,50K-1L,Regular,Verified
U00047,2020-11-30,25-34,Female,West Bengal,Kolkata,<25K,Regular,Verified
U00048,2023-09-21,18-24,Male,Gujarat,Vadodara,25K-50K,Regular,Verified
U00049,2024-06-27,35-44,Male,Rajasthan,Jaipur,<25K,Regular,Verified
U00050,2023-01-02,25-34,Male,West Bengal,Kolkata,50K-1L,Regular,Verified
U00051,2023-04-29,18-24,Female,Karnataka,Bengaluru,50K-1L,Regular,Pending
U00052,2020-11-19,35-44,Female,Tamil Nadu,Madurai,<25K,Regular,Verified
U00053,2024-11-25,35-44,Female,Rajasthan,Jodhpur,2L+,Regular,Verified
U00054,2020-10-10,35-44,Male,Punjab,Ludhiana,<25K,Regular,Verified
U00055,2020-07-31,45-54,Male,Karnataka,Mangaluru,50K-1L,New,Verified
U00056,2024-07-16,25-34,Male,Madhya Pradesh,Bhopal,1L-2L,New,Verified
U00057,2024-10-07,55+,Male,Rajasthan,Jaipur,1L-2L,Regular,Verified
U00058,2022-07-17,45-54,Female,Madhya Pradesh,Bhopal,<25K,Frequent,Pending
U00059,2022-01-21,25-34,Female,Gujarat,Ahmedabad,1L-2L,Frequent,Verified
U00060,2023-11-18,18-24,Male,Karnataka,Mangaluru,1L-2L,Regular,Pending
U00061,2024-12-26,25-34,Male,Tamil Nadu,Madurai,50K-1L,Regular,Verified
U00062,2022-11-11,25-34,Female,Punjab,Chandigarh,25K-50K,New,Pending
U00063,2024-11-29,35-44,Female,Punjab,Ludhiana,<25K,Frequent,Verified
U00064,2025-03-07,35-44,Female,West Bengal,Siliguri,50K-1L,Frequent,Verified
U00065,2020-04-14,35-44,Female,Punjab,Amritsar,25K-50K,New,Verified
U00066,2024-01-29,25-34,Male,Telangana,Warangal,1L-2L,Frequent,Verified
U00067,2024-01-22,18-24,Male,Delhi,Delhi,25K-50K,Regular,Verified
U00068,2023-12-26,45-54,Male,Maharashtra,Mumbai,50K-1L,Regular,Verified
U00069,2022-02-08,25-34,Male,Tamil Nadu,Chennai,<25K,Regular,Verified
U00070,2025-05-13,55+,Male,Karnataka,Mysuru,<25K,Regular,Verified
U00071,2025-07-20,18-24,Male,Telangana,Warangal,<25K,Frequent,Verified
U00072,2021-01-13,55+,Female,Tamil Nadu,Coimbatore,<25K,New,Verified
U00073,2021-12-13,18-24,Male,Karnataka,Mysuru,50K-1L,Regular,Verified
U00074,2023-10-04,25-34,Female,Uttar Pradesh,Lucknow,1L-2L,Regular,Verified
U00075,2020-08-12,18-24,Female,Uttar Pradesh,Lucknow,50K-1L,Regular,Verified
U00076,2024-10-03,35-44,Female,Madhya Pradesh,Jabalpur,50K-1L,Regular,Verified
U00077,2022-01-07,45-54,Male,Tamil Nadu,Coimbatore,50K-1L,Regular,Pending
U00078,2020-08-23,25-34,Female,Uttar Pradesh,Varanasi,25K-50K,Regular,Verified
U00079,2020-07-01,55+,Female,Karnataka,Mangaluru,25K-50K,Regular,Verified
U00080,2021-12-12,35-44,Female,Madhya Pradesh,Indore,25K-50K,Regular,Verified
U00081,2025-03-07,35-44,Male,Punjab,Ludhiana,50K-1L,Regular,Verified
U00082,2025-03-03,45-54,Male,Karnataka,Mangaluru,<25K,Regular,Verified
U00083,2021-09-14,25-34,Male,Madhya Pradesh,Bhopal,<25K,New,Verified
U00084,2023-06-13,25-34,Female,Tamil Nadu,Coimbatore,50K-1L,Regular,Verified
U00085,2023-02-24,45-54,Female,Telangana,Warangal,2L+,New,Verified
U00086,2022-01-18,45-54,Male,West Bengal,Siliguri,50K-1L,New,Verified
U00087,2026-01-11,55+,Male,Punjab,Amritsar,1L-2L,Regular,Verified
U00088,2026-04-23,45-54,Male,Rajasthan,Jodhpur,50K-1L,New,Verified
U00089,2026-04-01,18-24,Male,Telangana,Hyderabad,25K-50K,Regular,Verified
U00090,2026-05-25,45-54,Male,Gujarat,Ahmedabad,50K-1L,Frequent,Verified
U00091,2021-05-24,25-34,Male,Karnataka,Mysuru,1L-2L,New,Verified
U00092,2024-04-24,55+,Female,Gujarat,Surat,25K-50K,Frequent,Pending
U00093,2024-12-28,25-34,Female,Telangana,Warangal,25K-50K,New,Verified
U00094,2022-02-23,35-44,Male,Madhya Pradesh,Jabalpur,25K-50K,Regular,Pending
U00095,2026-06-03,25-34,Female,Rajasthan,Udaipur,25K-50K,Regular,Pending
U00096,2020-05-16,25-34,Female,Punjab,Chandigarh,1L-2L,Frequent,Verified
U00097,2025-11-04,18-24,Female,Punjab,Amritsar,25K-50K,New,Verified
U00098,2024-11-12,45-54,Female,Punjab,Amritsar,25K-50K,Regular,Verified
U00099,2023-05-07,45-54,Female,Rajasthan,Jaipur,1L-2L,New,Verified
U00100,2023-08-26,18-24,Female,Maharashtra,Nashik,50K-1L,Regular,Verified
U00101,2024-11-12,35-44,Male,Rajasthan,Udaipur,50K-1L,Frequent,Verified
U00102,2023-07-28,35-44,Male,West Bengal,Siliguri,1L-2L,Frequent,Verified
U00103,2022-02-02,25-34,Male,Rajasthan,Jaipur,25K-50K,Regular,Verified
U00104,2021-12-02,25-34,Male,Telangana,Hyderabad,50K-1L,Regular,Verified
U00105,2020-05-31,45-54,Female,Maharashtra,Nagpur,<25K,Frequent,Verified
U00106,2023-08-18,35-44,Female,Punjab,Amritsar,<25K,Regular,Verified
U00107,2023-07-25,35-44,Female,Telangana,Hyderabad,25K-50K,New,Verified
U00108,2024-09-07,35-44,Male,Telangana,Warangal,25K-50K,Frequent,Verified
U00109,2022-10-28,18-24,Male,Kerala,Kochi,2L+,Regular,Verified
U00110,2022-03-17,25-34,Female,Delhi,New Delhi,2L+,New,Verified
U00111,2020-08-22,25-34,Female,Maharashtra,Pune,1L-2L,New,Verified
U00112,2021-07-14,25-34,Male,Telangana,Hyderabad,25K-50K,Regular,Pending
U00113,2023-08-18,35-44,Male,Delhi,Delhi,2L+,Regular,Verified
U00114,2020-02-07,45-54,Male,Delhi,Delhi,50K-1L,Regular,Verified
U00115,2023-03-05,25-34,Female,Maharashtra,Mumbai,25K-50K,Regular,Verified
U00116,2021-02-24,25-34,Female,Kerala,Thiruvananthapuram,50K-1L,Frequent,Verified
U00117,2023-05-27,35-44,Male,Gujarat,Surat,<25K,Frequent,Verified
U00118,2020-12-13,45-54,Male,Madhya Pradesh,Indore,<25K,Regular,Verified
U00119,2025-01-05,35-44,Male,West Bengal,Kolkata,1L-2L,Frequent,Verified
U00120,2024-04-18,45-54,Male,Madhya Pradesh,Jabalpur,50K-1L,Frequent,Verified
U00121,2025-04-02,25-34,Male,Rajasthan,Udaipur,25K-50K,Regular,Pending
U00122,2026-05-09,35-44,Male,Punjab,Amritsar,50K-1L,Regular,Verified
U00123,2025-03-16,18-24,Female,West Bengal,Kolkata,1L-2L,Regular,Verified
U00124,2026-06-13,25-34,Female,Rajasthan,Jaipur,50K-1L,New,Verified
U00125,2023-10-29,25-34,Male,Telangana,Hyderabad,25K-50K,Regular,Pending
U00126,2024-12-29,25-34,Female,Punjab,Chandigarh,<25K,Regular,Verified
U00127,2023-05-13,55+,Male,Karnataka,Mangaluru,25K-50K,New,Verified
U00128,2021-02-08,45-54,Male,Maharashtra,Nagpur,2L+,New,Verified
U00129,2024-09-17,18-24,Other,West Bengal,Siliguri,25K-50K,Regular,Verified
U00130,2023-05-05,18-24,Female,West Bengal,Siliguri,25K-50K,Regular,Verified
U00131,2020-04-24,25-34,Female,Telangana,Warangal,25K-50K,Frequent,Verified
U00132,2024-08-03,25-34,Male,Gujarat,Surat,1L-2L,Regular,Verified
U00133,2020-03-05,35-44,Male,Delhi,New Delhi,50K-1L,Regular,Verified
U00134,2023-07-23,45-54,Male,Punjab,Ludhiana,50K-1L,Regular,Verified
U00135,2022-04-04,55+,Male,Telangana,Warangal,25K-50K,New,Verified
U00136,2026-04-05,35-44,Female,Uttar Pradesh,Varanasi,<25K,New,Verified
U00137,2026-06-07,45-54,Male,Kerala,Kochi,2L+,Frequent,Verified
U00138,2023-11-16,25-34,Male,Delhi,New Delhi,2L+,Regular,Verified
U00139,2022-08-26,25-34,Male,Maharashtra,Nagpur,2L+,Frequent,Verified
U00140,2021-01-03,25-34,Female,Delhi,Delhi,2L+,Regular,Verified
U00141,2020-08-20,35-44,Female,Gujarat,Surat,1L-2L,New,Verified
U00142,2026-02-20,35-44,Male,Delhi,New Delhi,50K-1L,Regular,Verified
U00143,2022-06-25,25-34,Male,Maharashtra,Mumbai,1L-2L,Regular,Verified
U00144,2022-07-09,25-34,Male,Gujarat,Vadodara,50K-1L,Regular,Verified
U00145,2021-11-19,25-34,Female,Madhya Pradesh,Jabalpur,<25K,Regular,Verified
U00146,2020-06-25,55+,Female,West Bengal,Kolkata,25K-50K,Frequent,Verified
U00147,2026-03-14,25-34,Male,West Bengal,Siliguri,2L+,Frequent,Verified
U00148,2022-10-31,35-44,Female,Kerala,Thiruvananthapuram,25K-50K,Frequent,Verified
U00149,2024-01-09,35-44,Male,Rajasthan,Udaipur,1L-2L,New,Verified
U00150,2021-09-21,25-34,Male,Madhya Pradesh,Bhopal,<25K,New,Verified
U00151,2020-06-12,35-44,Male,Madhya Pradesh,Bhopal,25K-50K,New,Pending
U00152,2025-10-01,45-54,Female,Punjab,Ludhiana,25K-50K,Regular,Verified
U00153,2026-03-15,25-34,Male,Delhi,Delhi,<25K,Regular,Verified
U00154,2022-04-03,55+,Female,West Bengal,Siliguri,<25K,Regular,Verified
U00155,2020-02-25,25-34,Female,Maharashtra,Nagpur,<25K,Regular,Verified
U00156,2020-04-27,18-24,Male,Tamil Nadu,Madurai,1L-2L,Frequent,Verified
U00157,2022-03-08,45-54,Male,Tamil Nadu,Chennai,<25K,Frequent,Verified
U00158,2022-02-18,45-54,Male,Gujarat,Vadodara,25K-50K,New,Verified
U00159,2023-12-09,55+,Female,West Bengal,Siliguri,<25K,Frequent,Verified
U00160,2025-03-08,35-44,Female,West Bengal,Kolkata,50K-1L,Regular,Verified
U00161,2021-12-08,55+,Female,Kerala,Thiruvananthapuram,50K-1L,Regular,Verified
U00162,2023-01-08,45-54,Female,Tamil Nadu,Coimbatore,50K-1L,Frequent,Verified
U00163,2020-01-22,45-54,Male,West Bengal,Siliguri,25K-50K,New,Verified
U00164,2024-02-09,35-44,Female,Kerala,Thiruvananthapuram,25K-50K,Frequent,Verified
U00165,2022-04-22,25-34,Male,Delhi,New Delhi,50K-1L,Regular,Verified
U00166,2024-10-26,55+,Female,Uttar Pradesh,Lucknow,1L-2L,Frequent,Verified
U00167,2023-01-21,25-34,Female,Punjab,Amritsar,<25K,Frequent,Verified
U00168,2020-07-10,25-34,Other,Karnataka,Bengaluru,25K-50K,Regular,Verified
U00169,2022-10-15,25-34,Female,Madhya Pradesh,Bhopal,25K-50K,New,Verified
U00170,2023-01-31,35-44,Female,Rajasthan,Jodhpur,<25K,New,Verified
U00171,2021-01-30,25-34,Female,Gujarat,Vadodara,50K-1L,Regular,Pending
U00172,2022-10-15,18-24,Female,Uttar Pradesh,Lucknow,50K-1L,New,Verified
U00173,2021-07-20,45-54,Male,Punjab,Chandigarh,25K-50K,Frequent,Pending
U00174,2020-08-18,25-34,Female,Punjab,Chandigarh,25K-50K,Regular,Verified
U00175,2022-05-23,35-44,Male,Punjab,Ludhiana,2L+,Frequent,Verified
U00176,2020-08-27,18-24,Male,Punjab,Amritsar,1L-2L,Regular,Pending
U00177,2020-03-30,18-24,Male,Tamil Nadu,Madurai,1L-2L,New,Verified
U00178,2026-03-29,25-34,Female,Kerala,Kochi,25K-50K,Regular,Verified
U00179,2021-04-01,35-44,Male,Madhya Pradesh,Jabalpur,50K-1L,Regular,Verified
U00180,2026-03-30,18-24,Female,West Bengal,Kolkata,25K-50K,Regular,Verified
U00181,2020-12-19,45-54,Male,Punjab,Chandigarh,<25K,Regular,Verified
U00182,2022-10-01,25-34,Male,Rajasthan,Jodhpur,25K-50K,New,Verified
U00183,2023-09-18,25-34,Female,West Bengal,Siliguri,50K-1L,Regular,Verified
U00184,2021-03-14,25-34,Male,Maharashtra,Mumbai,25K-50K,Regular,Verified
U00185,2023-10-30,18-24,Male,Maharashtra,Mumbai,1L-2L,Frequent,Verified
U00186,2020-12-10,35-44,Male,Rajasthan,Jaipur,<25K,Frequent,Verified
U00187,2021-10-18,45-54,Female,Kerala,Kochi,25K-50K,New,Pending
U00188,2025-12-17,35-44,Male,Rajasthan,Jodhpur,<25K,New,Verified
U00189,2025-12-28,25-34,Male,Tamil Nadu,Madurai,25K-50K,Regular,Verified
U00190,2023-01-21,25-34,Female,Rajasthan,Jaipur,<25K,Frequent,Verified
U00191,2021-09-17,25-34,Male,Delhi,New Delhi,25K-50K,Regular,Verified
U00192,2020-10-10,55+,Female,West Bengal,Siliguri,25K-50K,Regular,Verified
U00193,2025-06-02,25-34,Female,Uttar Pradesh,Kanpur,25K-50K,New,Pending
U00194,2024-08-05,35-44,Male,Telangana,Warangal,50K-1L,Regular,Verified
U00195,2020-08-10,25-34,Male,Kerala,Kochi,25K-50K,Regular,Verified
U00196,2022-01-13,25-34,Male,Rajasthan,Jaipur,50K-1L,Regular,Pending
U00197,2021-04-07,25-34,Male,Gujarat,Vadodara,50K-1L,Regular,Pending
U00198,2024-04-17,18-24,Female,Maharashtra,Pune,25K-50K,Regular,Verified
U00199,2024-09-01,45-54,Female,Delhi,Delhi,1L-2L,New,Verified
U00200,2023-03-09,25-34,Male,Madhya Pradesh,Jabalpur,50K-1L,Regular,Verified
U00201,2024-10-02,35-44,Female,Punjab,Amritsar,25K-50K,Frequent,Verified
U00202,2022-11-12,18-24,Male,Telangana,Warangal,2L+,Regular,Verified
U00203,2021-10-26,55+,Male,Kerala,Thiruvananthapuram,1L-2L,Frequent,Verified
U00204,2023-09-18,25-34,Female,Uttar Pradesh,Lucknow,2L+,Regular,Verified
U00205,2022-10-11,45-54,Female,Telangana,Warangal,50K-1L,Regular,Verified
U00206,2025-11-02,45-54,Male,Rajasthan,Jodhpur,25K-50K,New,Verified
U00207,2022-11-20,55+,Male,Tamil Nadu,Madurai,25K-50K,Regular,Pending
U00208,2024-10-30,25-34,Male,Maharashtra,Nashik,50K-1L,Regular,Verified
U00209,2026-04-06,35-44,Male,Maharashtra,Nagpur,2L+,Regular,Verified
U00210,2025-03-28,25-34,Male,Madhya Pradesh,Bhopal,50K-1L,Frequent,Verified
U00211,2020-12-28,25-34,Female,Tamil Nadu,Madurai,1L-2L,Regular,Verified
U00212,2023-11-13,25-34,Female,Punjab,Chandigarh,25K-50K,New,Pending
U00213,2021-10-29,18-24,Female,West Bengal,Siliguri,25K-50K,Frequent,Verified
U00214,2025-02-23,55+,Female,Karnataka,Bengaluru,1L-2L,Regular,Verified
U00215,2023-10-26,18-24,Female,Delhi,New Delhi,1L-2L,Regular,Pending
U00216,2020-04-08,35-44,Female,Maharashtra,Mumbai,2L+,Regular,Pending
U00217,2025-09-25,35-44,Female,Gujarat,Surat,1L-2L,Regular,Verified
U00218,2021-02-25,25-34,Female,Maharashtra,Nagpur,25K-50K,New,Verified
U00219,2024-02-12,35-44,Male,Telangana,Hyderabad,50K-1L,Regular,Verified
U00220,2020-03-02,18-24,Male,Maharashtra,Nashik,1L-2L,Regular,Verified
U00221,2023-02-06,35-44,Female,Kerala,Kochi,50K-1L,Regular,Pending
U00222,2024-08-29,25-34,Male,Maharashtra,Mumbai,25K-50K,New,Verified
U00223,2021-08-20,55+,Female,Karnataka,Mangaluru,25K-50K,New,Verified
U00224,2021-01-26,35-44,Male,Karnataka,Mangaluru,50K-1L,New,Verified
U00225,2022-12-11,55+,Female,Punjab,Chandigarh,<25K,Regular,Verified
U00226,2023-08-05,18-24,Male,Uttar Pradesh,Noida,50K-1L,Frequent,Verified
U00227,2025-07-22,25-34,Female,West Bengal,Siliguri,<25K,New,Verified
U00228,2022-03-20,25-34,Male,Gujarat,Ahmedabad,25K-50K,Regular,Verified
U00229,2023-11-06,18-24,Female,Maharashtra,Nagpur,1L-2L,Regular,Pending
U00230,2023-03-05,25-34,Male,Maharashtra,Mumbai,25K-50K,Frequent,Verified
U00231,2024-03-11,35-44,Female,Delhi,Delhi,1L-2L,New,Verified
U00232,2023-10-17,25-34,Female,Karnataka,Mangaluru,25K-50K,New,Verified
U00233,2022-05-30,25-34,Male,Gujarat,Vadodara,2L+,New,Verified
U00234,2024-05-18,45-54,Female,Punjab,Chandigarh,25K-50K,Frequent,Verified
U00235,2020-09-10,35-44,Male,Madhya Pradesh,Bhopal,<25K,Regular,Verified
U00236,2025-08-29,25-34,Female,Uttar Pradesh,Noida,1L-2L,New,Verified
U00237,2023-03-14,25-34,Male,West Bengal,Kolkata,1L-2L,Regular,Verified
U00238,2023-05-16,25-34,Male,Tamil Nadu,Chennai,25K-50K,New,Verified
U00239,2020-06-14,18-24,Female,West Bengal,Kolkata,2L+,New,Verified
U00240,2024-04-22,35-44,Female,Kerala,Kochi,50K-1L,Frequent,Verified
U00241,2021-09-08,25-34,Male,Telangana,Hyderabad,2L+,Regular,Verified
U00242,2024-06-13,45-54,Male,Kerala,Kochi,50K-1L,Regular,Verified
U00243,2021-05-17,35-44,Male,Maharashtra,Mumbai,25K-50K,Regular,Verified
U00244,2022-07-01,35-44,Female,Uttar Pradesh,Varanasi,25K-50K,Regular,Verified
U00245,2025-10-27,25-34,Male,Telangana,Warangal,25K-50K,Regular,Verified
U00246,2021-08-07,25-34,Female,Gujarat,Surat,50K-1L,Regular,Verified
U00247,2025-05-12,35-44,Female,Tamil Nadu,Chennai,25K-50K,Regular,Verified
U00248,2021-01-30,25-34,Male,Karnataka,Mysuru,<25K,New,Verified
U00249,2024-06-19,25-34,Female,Uttar Pradesh,Varanasi,25K-50K,Regular,Verified
U00250,2025-02-23,25-34,Female,Uttar Pradesh,Noida,25K-50K,Frequent,Verified
U00251,2021-02-05,18-24,Female,Kerala,Kochi,1L-2L,New,Verified
U00252,2022-09-01,35-44,Male,Maharashtra,Pune,50K-1L,Frequent,Verified
U00253,2020-08-11,25-34,Male,Rajasthan,Jodhpur,1L-2L,New,Verified
U00254,2021-06-01,25-34,Male,Punjab,Chandigarh,2L+,Regular,Verified
U00255,2020-08-23,25-34,Male,Kerala,Kochi,50K-1L,Regular,Verified
U00256,2020-04-25,35-44,Male,Uttar Pradesh,Noida,2L+,Regular,Pending
U00257,2020-08-13,45-54,Male,Delhi,New Delhi,25K-50K,New,Verified
U00258,2026-03-27,45-54,Female,Tamil Nadu,Madurai,<25K,Frequent,Verified
U00259,2020-06-30,25-34,Female,Punjab,Amritsar,25K-50K,Frequent,Verified
U00260,2023-09-03,18-24,Female,Kerala,Thiruvananthapuram,25K-50K,New,Verified
U00261,2020-07-28,25-34,Female,Tamil Nadu,Madurai,1L-2L,Frequent,Verified
U00262,2023-11-16,35-44,Male,Delhi,New Delhi,50K-1L,Regular,Verified
U00263,2025-11-13,35-44,Female,Madhya Pradesh,Indore,25K-50K,Frequent,Verified
U00264,2022-06-12,35-44,Female,Delhi,Delhi,50K-1L,New,Verified
U00265,2025-02-24,18-24,Male,Delhi,New Delhi,50K-1L,Frequent,Verified
U00266,2023-01-14,35-44,Male,Tamil Nadu,Madurai,<25K,New,Pending
U00267,2025-07-19,25-34,Male,West Bengal,Kolkata,50K-1L,Frequent,Verified
U00268,2021-01-28,35-44,Female,Tamil Nadu,Madurai,1L-2L,Regular,Pending
U00269,2022-04-23,25-34,Female,Rajasthan,Jodhpur,1L-2L,Regular,Verified
U00270,2024-03-04,35-44,Female,Maharashtra,Mumbai,50K-1L,New,Verified
U00271,2021-08-26,18-24,Female,Telangana,Hyderabad,25K-50K,Frequent,Pending
U00272,2021-08-04,25-34,Female,West Bengal,Siliguri,<25K,Regular,Verified
U00273,2025-08-04,35-44,Male,Karnataka,Mysuru,25K-50K,Regular,Verified
U00274,2025-04-23,25-34,Female,Telangana,Warangal,1L-2L,Regular,Verified
U00275,2020-05-12,45-54,Female,Maharashtra,Nagpur,25K-50K,Frequent,Verified
U00276,2026-03-18,35-44,Female,Kerala,Kochi,25K-50K,Regular,Pending
U00277,2022-09-02,35-44,Male,Punjab,Chandigarh,2L+,New,Verified
U00278,2024-12-18,25-34,Male,Rajasthan,Jaipur,1L-2L,Frequent,Verified
U00279,2024-03-23,25-34,Male,Rajasthan,Jodhpur,50K-1L,Regular,Verified
U00280,2023-09-19,35-44,Female,Karnataka,Mysuru,<25K,Regular,Verified
U00281,2020-02-08,25-34,Female,West Bengal,Siliguri,<25K,New,Verified
U00282,2023-08-09,35-44,Female,Madhya Pradesh,Bhopal,<25K,Frequent,Verified
U00283,2020-06-10,25-34,Female,Delhi,New Delhi,50K-1L,New,Verified
U00284,2025-03-24,25-34,Male,West Bengal,Kolkata,<25K,Regular,Verified
U00285,2023-02-01,25-34,Male,Punjab,Ludhiana,1L-2L,Frequent,Verified
U00286,2026-01-17,18-24,Male,Madhya Pradesh,Bhopal,2L+,New,Verified
U00287,2024-07-16,25-34,Male,Rajasthan,Udaipur,25K-50K,Frequent,Verified
U00288,2025-05-17,35-44,Male,Tamil Nadu,Coimbatore,25K-50K,Regular,Verified
U00289,2022-11-23,45-54,Female,Punjab,Amritsar,50K-1L,Regular,Verified
U00290,2026-04-08,25-34,Other,Maharashtra,Nashik,2L+,Regular,Verified
U00291,2022-08-24,55+,Female,Karnataka,Bengaluru,1L-2L,Regular,Verified
U00292,2022-06-08,25-34,Male,Maharashtra,Nagpur,<25K,Regular,Verified
U00293,2025-11-30,45-54,Female,Punjab,Chandigarh,<25K,New,Verified
U00294,2026-06-23,35-44,Female,Gujarat,Vadodara,1L-2L,Frequent,Verified
U00295,2025-09-01,35-44,Male,Gujarat,Vadodara,50K-1L,New,Verified
U00296,2024-07-24,18-24,Female,Kerala,Thiruvananthapuram,<25K,Frequent,Verified
U00297,2023-12-12,25-34,Female,West Bengal,Siliguri,50K-1L,New,Verified
U00298,2022-12-03,18-24,Female,Rajasthan,Udaipur,1L-2L,Regular,Pending
U00299,2020-05-07,35-44,Female,Rajasthan,Udaipur,25K-50K,Frequent,Verified
U00300,2020-06-06,25-34,Male,Delhi,Delhi,1L-2L,New,Pending
U00301,2022-04-06,45-54,Male,Delhi,New Delhi,<25K,Frequent,Verified
U00302,2025-03-05,25-34,Female,Delhi,Delhi,1L-2L,Regular,Verified
U00303,2021-05-26,45-54,Female,Tamil Nadu,Coimbatore,50K-1L,Regular,Verified
U00304,2025-09-23,18-24,Male,Telangana,Warangal,25K-50K,Regular,Verified
U00305,2026-03-16,18-24,Female,Uttar Pradesh,Lucknow,50K-1L,Regular,Verified
U00306,2021-03-18,25-34,Female,Telangana,Hyderabad,1L-2L,Regular,Verified
U00307,2026-06-20,25-34,Female,Maharashtra,Pune,2L+,Regular,Verified
U00308,2026-02-02,25-34,Male,Telangana,Hyderabad,25K-50K,Regular,Verified
U00309,2026-03-25,35-44,Female,Tamil Nadu,Chennai,50K-1L,New,Verified
U00310,2024-09-22,18-24,Female,Kerala,Thiruvananthapuram,50K-1L,Frequent,Verified
U00311,2025-06-29,25-34,Male,Maharashtra,Pune,50K-1L,Frequent,Verified
U00312,2024-08-22,45-54,Female,Telangana,Warangal,1L-2L,Regular,Verified
U00313,2020-09-23,18-24,Male,Tamil Nadu,Coimbatore,<25K,Regular,Verified
U00314,2022-04-17,55+,Female,Uttar Pradesh,Noida,25K-50K,Regular,Verified
U00315,2021-05-03,55+,Female,Telangana,Hyderabad,50K-1L,Regular,Pending
U00316,2021-12-02,18-24,Female,Tamil Nadu,Madurai,<25K,Regular,Verified
U00317,2021-11-17,25-34,Female,Delhi,Delhi,1L-2L,Frequent,Verified
U00318,2022-09-22,25-34,Male,Rajasthan,Jaipur,50K-1L,New,Verified
