Month,Year,Month_Name,Active_Users,Transactions_Mn,Transaction_Value_Cr,Avg_Transaction_Value_INR,Success_Rate_%,Failure_Rate_%
2022-07-01,2022,Jul,1015382,463.09,66552.59,1437.14,95.69,4.31
2022-08-01,2022,Aug,976867,478.25,67409.31,1409.5,97.47,2.53
2022-09-01,2022,Sep,1080262,505.13,69035.03,1366.68,96.37,3.63
2022-10-01,2022,Oct,952771,501.57,72215.56,1439.79,96.59,3.41
2022-11-01,2022,Nov,930620,524.11,72613.06,1385.45,96.18,3.82
2022-12-01,2022,Dec,1105345,542.19,75519.22,1392.86,97.59,2.41
2023-01-01,2023,Jan,1112327,534.06,76782.5,1437.71,96.34,3.66
2023-02-01,2023,Feb,1056420,554.57,75776.89,1366.41,97.46,2.54
2023-03-01,2023,Mar,1000708,570.24,80559.94,1412.74,96.63,3.37
2023-04-01,2023,Apr,1267075,582.12,82348.19,1414.63,96.98,3.02
2023-05-01,2023,May,1080920,591.82,84613.93,1429.72,96.9,3.1
2023-06-01,2023,Jun,1127741,602.77,84710.24,1405.35,96.12,3.88
2023-07-01,2023,Jul,1309057,618.77,86037.56,1390.46,97.11,2.89
2023-08-01,2023,Aug,1053325,622.44,86989.13,1397.55,96.37,3.63
2023-09-01,2023,Sep,1200417,632.83,88866.1,1404.26,96.87,3.13
2023-10-01,2023,Oct,1150858,652.31,92720.67,1421.42,95.06,4.94
2023-11-01,2023,Nov,1294321,672.84,95453.8,1418.67,96.3,3.7
2023-12-01,2023,Dec,1370445,672.65,95240.54,1415.9,96.1,3.9
2024-01-01,2024,Jan,1354361,673.5,97796.62,1452.07,96.86,3.14
2024-02-01,2024,Feb,1275203,701.61,98463.73,1403.4,95.53,4.47
2024-03-01,2024,Mar,1314588,709.55,100067.97,1410.3,95.66,4.34
2024-04-01,2024,Apr,1365720,708.28,101620.4,1434.75,96.39,3.61
2024-05-01,2024,May,1435629,725.0,105254.05,1451.78,97.57,2.43
2024-06-01,2024,Jun,1610675,740.59,105152.97,1419.85,97.39,2.61
2024-07-01,2024,Jul,1426453,755.6,107456.64,1422.14,96.59,3.41
2024-08-01,2024,Aug,1581250,768.21,108251.24,1409.14,96.84,3.16
2024-09-01,2024,Sep,1471139,772.76,109689.4,1419.45,96.76,3.24
2024-10-01,2024,Oct,1396790,774.91,110847.5,1430.46,96.35,3.65
2024-11-01,2024,Nov,1694802,807.26,112409.49,1392.48,96.45,3.55
2024-12-01,2024,Dec,1612005,807.33,114864.99,1422.78,96.81,3.19
2025-01-01,2025,Jan,1697361,816.6,115543.6,1414.94,96.46,3.54
2025-02-01,2025,Feb,1666153,819.96,117563.2,1433.77,96.72,3.28
2025-03-01,2025,Mar,1755525,838.15,120597.42,1438.85,97.5,2.5
2025-04-01,2025,Apr,1739962,850.97,122041.68,1434.15,96.32,3.68
2025-05-01,2025,May,1766903,852.05,122771.04,1440.89,95.22,4.78
2025-06-01,2025,Jun,1673511,863.8,123823.58,1433.48,96.57,3.43
2025-07-01,2025,Jul,1771527,892.91,127798.14,1431.25,98.08,1.92
2025-08-01,2025,Aug,1820413,904.34,128240.88,1418.06,97.9,2.1
2025-09-01,2025,Sep,1824521,898.14,129767.78,1444.85,96.57,3.43
2025-10-01,2025,Oct,1767409,915.64,130444.3,1424.62,95.59,4.41
2025-11-01,2025,Nov,1855303,949.47,132213.6,1392.5,96.4,3.6
2025-12-01,2025,Dec,1927101,947.67,135252.09,1427.21,96.42,3.58
2026-01-01,2026,Jan,1965680,956.73,136657.24,1428.38,95.75,4.25
2026-02-01,2026,Feb,1899812,973.8,138985.77,1427.25,97.13,2.87
2026-03-01,2026,Mar,1927361,973.55,139336.03,1431.22,96.21,3.79
2026-04-01,2026,Apr,2020334,983.17,139892.52,1422.87,95.49,4.51
2026-05-01,2026,May,1914574,1022.92,142249.92,1390.63,96.86,3.14
2026-06-01,2026,Jun,1977102,1012.65,144503.26,1426.98,95.6,4.4
