Transaction_ID,User_ID,Transaction_Date,Category,Merchant_Type,Payment_Mode,Amount_INR,Status,Month,Year,Merchant_ID
T000032,U04298,2025-01-04,Mobile Recharge,Small Business,UPI,217.9,Success,2025-01,2025,M008
T000033,U02598,2022-03-16,Bills,Offline,Bill Payment,791.4,Success,2022-03,2022,M015
T000034,U03757,2022-12-01,Grocery,Offline,UPI,243.21,Success,2022-12,2022,M019
T000035,U03100,2022-03-26,Fuel,Offline,QR Code,269.65,Success,2022-03,2022,M010
T000036,U01042,2025-08-22,Grocery,Offline,QR Code,816.32,Success,2025-08,2025,M008
T000037,U03039,2024-06-12,Mobile Recharge,Offline,QR Code,303.25,Success,2024-06,2024,M020
T000038,U03062,2023-04-25,Other,Small Business,QR Code,5477.66,Success,2023-04,2023,M009
T000039,U01033,2023-09-21,Mobile Recharge,Large Merchant,UPI,176.69,Success,2023-09,2023,M005
T000040,U00875,2021-07-08,Utilities,Offline,QR Code,222.97,Success,2021-07,2021,M004
T000041,U01342,2024-11-04,Other,Offline,QR Code,121.38,Success,2024-11,2024,M005
T000042,U01920,2025-10-23,Mobile Recharge,Offline,UPI,128.55,Success,2025-10,2025,M008
T000043,U04136,2022-04-04,Bills,Small Business,UPI,151.07,Success,2022-04,2022,M008
T000044,U04709,2023-03-18,Utilities,Offline,QR Code,126.98,Success,2023-03,2023,M013
T000045,U00058,2020-07-25,Mobile Recharge,Online,Online Payment,780.8,Success,2020-07,2020,M018
T000046,U03010,2023-06-18,Entertainment,Offline,QR Code,203.66,Success,2023-06,2023,M013
T000047,U01299,2022-06-12,Education,Small Business,UPI,52.35,Success,2022-06,2022,M010
T000048,U03611,2025-12-12,Shopping,Online,UPI,82.92,Success,2025-12,2025,M012
T000049,U02334,2026-04-23,Entertainment,Online,UPI,872.12,Success,2026-04,2026,M004
T000050,U02093,2022-01-06,Mobile Recharge,Large Merchant,UPI,181.6,Pending,2022-01,2022,M016
T000051,U00974,2023-12-11,Utilities,Small Business,UPI,398.28,Success,2023-12,2023,M015
T000052,U02463,2020-10-14,Travel,Offline,UPI,156.25,Success,2020-10,2020,M007
T000053,U02084,2023-05-23,Bills,Online,Bill Payment,107.67,Success,2023-05,2023,M006
T000054,U02287,2024-12-22,Grocery,Large Merchant,UPI,53.0,Success,2024-12,2024,M009
T000055,U02955,2022-02-05,Education,Small Business,UPI,1129.9,Success,2022-02,2022,M012
T000056,U01873,2021-07-26,Utilities,Offline,QR Code,74.75,Success,2021-07,2021,M007
T000057,U04880,2021-01-02,Grocery,Small Business,QR Code,154.08,Success,2021-01,2021,M012
T000058,U01483,2023-11-25,Travel,Offline,Online Payment,121.74,Success,2023-11,2023,M013
T000059,U02215,2023-05-09,Bills,Offline,UPI,1753.89,Success,2023-05,2023,M011
T000060,U03835,2026-05-21,Grocery,Large Merchant,UPI,79.11,Success,2026-05,2026,M004
T000061,U03932,2025-10-11,Bills,Offline,UPI,991.73,Success,2025-10,2025,M013
T000062,U01237,2021-10-07,Travel,Offline,QR Code,396.36,Success,2021-10,2021,M015
T000063,U04828,2022-01-20,Education,Small Business,QR Code,698.96,Success,2022-01,2022,M003
T000064,U01016,2020-12-26,Entertainment,Online,Online Payment,398.96,Success,2020-12,2020,M004
T000065,U02807,2022-11-10,Other,Offline,UPI,272.65,Success,2022-11,2022,M016
T000066,U01687,2022-07-29,Other,Offline,UPI,546.49,Success,2022-07,2022,M009
T000067,U00957,2022-05-04,Food & Dining,Online,Recharge,486.0,Success,2022-05,2022,M014
T000068,U01206,2025-09-24,Other,Online,UPI,677.55,Success,2025-09,2025,M002
T000069,U01677,2020-07-12,Travel,Online,UPI,85.03,Success,2020-07,2020,M004
T000070,U00968,2022-12-16,Grocery,Offline,QR Code,282.12,Success,2022-12,2022,M020
T000071,U04760,2024-04-26,Mobile Recharge,Online,UPI,1060.84,Success,2024-04,2024,M001
T000072,U02152,2024-01-20,Healthcare,Offline,UPI,57.35,Success,2024-01,2024,M018
T000073,U01659,2020-11-28,Other,Small Business,UPI,265.33,Success,2020-11,2020,M006
T000074,U03749,2022-01-16,Shopping,Offline,Bill Payment,195.15,Success,2022-01,2022,M008
T000075,U01753,2022-05-15,Fuel,Small Business,QR Code,342.96,Success,2022-05,2022,M005
T000076,U04971,2021-10-06,Other,Offline,UPI,924.21,Success,2021-10,2021,M014
T000077,U04378,2024-03-16,Utilities,Small Business,UPI,105.84,Success,2024-03,2024,M009
T000078,U03438,2020-05-29,Fuel,Small Business,Recharge,331.28,Success,2020-05,2020,M018
T000079,U01962,2024-07-15,Grocery,Online,Online Payment,98.22,Success,2024-07,2024,M001
T000080,U03308,2022-03-12,Other,Small Business,UPI,50.45,Success,2022-03,2022,M016
T000081,U02493,2022-05-31,Utilities,Large Merchant,UPI,100.11,Success,2022-05,2022,M009
T000082,U02962,2023-05-21,Grocery,Small Business,UPI,30.73,Success,2023-05,2023,M010
T000083,U00067,2026-05-17,Utilities,Large Merchant,UPI,333.2,Success,2026-05,2026,M016
T000084,U01678,2024-08-02,Entertainment,Online,UPI,225.18,Success,2024-08,2024,M015
T000085,U00448,2024-08-21,Education,Online,UPI,11.36,Success,2024-08,2024,M007
T000086,U03780,2021-11-04,Education,Large Merchant,QR Code,409.08,Success,2021-11,2021,M020
T000087,U00613,2023-09-22,Entertainment,Online,Recharge,104.28,Success,2023-09,2023,M020
T000088,U03227,2025-11-10,Fuel,Offline,Recharge,450.98,Success,2025-11,2025,M015
T000089,U02693,2025-12-02,Utilities,Online,Bill Payment,84.43,Success,2025-12,2025,M019
T000090,U04675,2023-12-15,Healthcare,Offline,QR Code,245.65,Pending,2023-12,2023,M008
T000091,U00724,2025-11-30,Education,Offline,UPI,165.29,Success,2025-11,2025,M020
T000092,U03180,2023-10-23,Mobile Recharge,Online,UPI,529.92,Success,2023-10,2023,M020
T000093,U01943,2022-12-19,Mobile Recharge,Offline,UPI,91.07,Success,2022-12,2022,M004
T000094,U04031,2026-04-03,Education,Online,UPI,118.98,Failed,2026-04,2026,M003
T000095,U02224,2025-05-18,Bills,Offline,UPI,130.23,Success,2025-05,2025,M002
T000096,U01817,2024-12-28,Other,Small Business,UPI,1053.41,Success,2024-12,2024,M001
T000097,U04186,2024-10-30,Shopping,Offline,UPI,110.29,Success,2024-10,2024,M017
T000098,U01913,2021-12-24,Fuel,Offline,Recharge,320.42,Success,2021-12,2021,M017
T000099,U01859,2024-05-25,Utilities,Offline,QR Code,908.54,Success,2024-05,2024,M005
T000100,U03324,2024-11-05,Other,Online,QR Code,53.71,Success,2024-11,2024,M004
T000101,U01627,2024-12-19,Food & Dining,Offline,UPI,256.35,Success,2024-12,2024,M016
T000102,U02765,2021-03-24,Utilities,Offline,Recharge,65.93,Success,2021-03,2021,M017
T000103,U03553,2024-08-29,Other,Online,UPI,162.17,Failed,2024-08,2024,M002
T000104,U03417,2020-07-13,Healthcare,Offline,Recharge,137.68,Success,2020-07,2020,M018
T000105,U03472,2024-09-04,Education,Offline,UPI,127.02,Success,2024-09,2024,M001
T000106,U04838,2023-05-03,Other,Offline,Bill Payment,288.52,Success,2023-05,2023,M015
T000107,U02102,2021-07-28,Shopping,Online,QR Code,311.48,Success,2021-07,2021,M017
T000108,U02996,2024-10-24,Education,Online,UPI,160.49,Success,2024-10,2024,M002
T000109,U02706,2026-06-15,Food & Dining,Small Business,Online Payment,374.64,Success,2026-06,2026,M013
T000110,U02257,2024-12-23,Travel,Large Merchant,UPI,858.92,Success,2024-12,2024,M019
T000111,U02166,2025-02-27,Bills,Small Business,Online Payment,864.63,Success,2025-02,2025,M007
T000112,U04313,2021-08-13,Food & Dining,Offline,UPI,40.13,Success,2021-08,2021,M015
T000113,U01178,2021-07-01,Education,Large Merchant,UPI,319.13,Success,2021-07,2021,M002
T000114,U03602,2021-01-23,Utilities,Offline,UPI,51.87,Success,2021-01,2021,M003
T000115,U01329,2023-12-29,Other,Online,UPI,122.64,Success,2023-12,2023,M007
T000116,U03265,2024-10-18,Entertainment,Offline,Online Payment,111.52,Success,2024-10,2024,M003
T000117,U00878,2021-10-22,Education,Online,UPI,143.7,Success,2021-10,2021,M011
T000118,U01182,2024-02-28,Food & Dining,Offline,QR Code,714.64,Success,2024-02,2024,M005
T000119,U04889,2024-08-16,Travel,Offline,UPI,419.47,Success,2024-08,2024,M006
T000120,U00035,2021-06-17,Shopping,Offline,UPI,150.66,Success,2021-06,2021,M016
T000121,U03486,2020-10-23,Bills,Large Merchant,Recharge,153.12,Success,2020-10,2020,M020
T000122,U01699,2024-02-26,Food & Dining,Large Merchant,UPI,428.45,Success,2024-02,2024,M006
T000123,U03591,2020-11-26,Food & Dining,Offline,Online Payment,209.64,Success,2020-11,2020,M005
T000124,U02788,2022-05-04,Healthcare,Online,QR Code,47.0,Success,2022-05,2022,M002
T000125,U02472,2023-07-08,Mobile Recharge,Offline,Online Payment,15.7,Success,2023-07,2023,M020
T000126,U02549,2022-12-14,Shopping,Small Business,QR Code,85.21,Success,2022-12,2022,M017
T000127,U04365,2023-07-29,Healthcare,Online,UPI,272.92,Success,2023-07,2023,M013
T000128,U04090,2022-05-24,Shopping,Online,QR Code,131.91,Success,2022-05,2022,M014
T000129,U02308,2022-01-11,Utilities,Small Business,QR Code,320.72,Success,2022-01,2022,M001
T000130,U00108,2025-07-10,Grocery,Offline,UPI,127.07,Success,2025-07,2025,M020
T000131,U01373,2024-05-04,Grocery,Small Business,QR Code,298.41,Success,2024-05,2024,M001
T000132,U03617,2024-12-22,Bills,Offline,UPI,68.32,Failed,2024-12,2024,M015
T000133,U02583,2026-01-02,Other,Online,QR Code,147.24,Success,2026-01,2026,M017
T000134,U04675,2021-01-25,Food & Dining,Small Business,QR Code,351.42,Success,2021-01,2021,M001
T000135,U02720,2021-01-07,Fuel,Online,Online Payment,98.74,Success,2021-01,2021,M015
T000136,U03511,2023-11-21,Education,Online,QR Code,514.41,Success,2023-11,2023,M011
T000137,U00515,2026-04-28,Grocery,Offline,QR Code,372.59,Success,2026-04,2026,M004
T000138,U01220,2022-07-19,Education,Offline,QR Code,268.49,Success,2022-07,2022,M014
T000139,U02593,2024-02-11,Bills,Offline,UPI,552.99,Success,2024-02,2024,M015
T000140,U02705,2022-01-15,Entertainment,Offline,UPI,128.36,Success,2022-01,2022,M015
T000141,U04020,2024-02-17,Utilities,Small Business,UPI,329.24,Success,2024-02,2024,M006
T000142,U01609,2024-11-05,Fuel,Offline,UPI,106.11,Success,2024-11,2024,M008
T000143,U03845,2025-05-15,Fuel,Small Business,Online Payment,104.51,Success,2025-05,2025,M010
T000144,U02557,2024-05-14,Mobile Recharge,Offline,Online Payment,77.41,Success,2024-05,2024,M012
T000145,U02325,2021-11-15,Other,Offline,Recharge,689.06,Success,2021-11,2021,M004
T000146,U01283,2021-04-10,Bills,Offline,QR Code,82.61,Success,2021-04,2021,M018
T000147,U04389,2025-08-31,Fuel,Offline,UPI,83.34,Success,2025-08,2025,M018
T000148,U00545,2023-05-17,Education,Offline,Recharge,354.42,Pending,2023-05,2023,M018
T000149,U03843,2024-05-05,Other,Offline,Bill Payment,137.29,Success,2024-05,2024,M015
T000150,U01712,2020-05-24,Healthcare,Small Business,QR Code,520.7,Success,2020-05,2020,M020
T000151,U02706,2026-06-10,Fuel,Offline,Online Payment,89.62,Success,2026-06,2026,M008
T000152,U02691,2024-12-12,Food & Dining,Online,UPI,127.13,Success,2024-12,2024,M009
T000153,U00645,2020-02-13,Food & Dining,Small Business,QR Code,241.55,Success,2020-02,2020,M006
T000154,U00859,2020-04-16,Entertainment,Offline,UPI,58.67,Success,2020-04,2020,M018
T000155,U04681,2025-07-21,Mobile Recharge,Offline,Online Payment,64.92,Success,2025-07,2025,M005
T000156,U02043,2020-05-29,Education,Offline,Bill Payment,36.93,Success,2020-05,2020,M005
T000157,U03318,2023-07-11,Other,Online,UPI,1075.24,Success,2023-07,2023,M001
T000158,U02233,2020-04-19,Utilities,Small Business,UPI,86.83,Success,2020-04,2020,M020
T000159,U01593,2022-11-07,Grocery,Small Business,UPI,173.53,Pending,2022-11,2022,M010
T000160,U04929,2022-01-19,Healthcare,Online,Bill Payment,131.22,Success,2022-01,2022,M004
T000161,U02751,2026-04-05,Grocery,Small Business,UPI,216.19,Success,2026-04,2026,M016
T000162,U04291,2021-12-24,Grocery,Online,Bill Payment,396.18,Success,2021-12,2021,M015
T000163,U02053,2020-11-23,Food & Dining,Offline,QR Code,222.57,Success,2020-11,2020,M020
T000164,U00406,2022-05-11,Utilities,Offline,UPI,73.69,Success,2022-05,2022,M007
T000165,U02945,2023-08-10,Travel,Small Business,UPI,144.4,Success,2023-08,2023,M001
T000166,U00175,2023-12-07,Travel,Online,UPI,624.51,Success,2023-12,2023,M006
T000167,U04696,2021-04-05,Grocery,Online,QR Code,517.66,Success,2021-04,2021,M014
T000168,U02743,2023-01-09,Grocery,Offline,Online Payment,241.47,Success,2023-01,2023,M015
T000169,U00110,2023-07-02,Bills,Small Business,QR Code,1591.13,Success,2023-07,2023,M017
T000170,U04324,2022-01-13,Food & Dining,Offline,UPI,445.13,Success,2022-01,2022,M016
T000171,U04840,2024-01-20,Food & Dining,Large Merchant,QR Code,311.61,Success,2024-01,2024,M011
T000172,U00747,2022-06-16,Grocery,Offline,Online Payment,715.28,Success,2022-06,2022,M001
T000173,U03620,2021-03-18,Bills,Offline,Bill Payment,124.99,Success,2021-03,2021,M003
T000174,U01292,2025-01-07,Fuel,Offline,QR Code,1432.89,Success,2025-01,2025,M002
T000175,U02562,2022-06-04,Healthcare,Online,UPI,173.87,Success,2022-06,2022,M007
T000176,U03662,2023-06-15,Shopping,Online,Recharge,591.45,Failed,2023-06,2023,M017
T000177,U00659,2020-09-17,Healthcare,Offline,Online Payment,64.83,Success,2020-09,2020,M019
T000178,U01365,2023-07-20,Utilities,Large Merchant,Online Payment,416.47,Success,2023-07,2023,M012
T000179,U04062,2020-10-06,Fuel,Online,Bill Payment,237.97,Success,2020-10,2020,M011
T000180,U02353,2025-01-24,Other,Small Business,QR Code,586.03,Success,2025-01,2025,M006
T000181,U00368,2020-05-31,Shopping,Offline,QR Code,175.93,Success,2020-05,2020,M007
T000182,U03541,2024-05-15,Mobile Recharge,Online,UPI,191.26,Success,2024-05,2024,M012
T000183,U00572,2024-07-29,Food & Dining,Online,Online Payment,1413.88,Success,2024-07,2024,M016
T000184,U00775,2025-08-23,Fuel,Offline,UPI,19.86,Success,2025-08,2025,M015
T000185,U04906,2024-03-14,Grocery,Online,Bill Payment,1199.66,Success,2024-03,2024,M008
T000186,U04880,2024-04-14,Entertainment,Small Business,UPI,1390.57,Success,2024-04,2024,M004
T000187,U01651,2022-08-08,Shopping,Offline,Online Payment,276.0,Success,2022-08,2022,M003
T000188,U03481,2023-09-03,Education,Online,UPI,608.14,Success,2023-09,2023,M006
T000189,U00300,2022-01-01,Entertainment,Small Business,UPI,20.39,Success,2022-01,2022,M003
T000190,U03622,2020-08-25,Travel,Online,UPI,22.62,Success,2020-08,2020,M002
T000191,U04766,2021-06-22,Entertainment,Large Merchant,UPI,87.91,Success,2021-06,2021,M016
T000192,U03537,2022-02-07,Travel,Online,QR Code,824.36,Failed,2022-02,2022,M002
T000193,U03984,2025-10-22,Food & Dining,Small Business,UPI,28.96,Success,2025-10,2025,M020
T000194,U04446,2023-12-28,Mobile Recharge,Offline,UPI,250.18,Success,2023-12,2023,M013
T000195,U03284,2024-09-30,Entertainment,Small Business,UPI,189.47,Failed,2024-09,2024,M018
T000196,U01669,2020-10-22,Shopping,Online,UPI,272.63,Success,2020-10,2020,M006
T000197,U03693,2020-01-14,Food & Dining,Online,QR Code,37.03,Success,2020-01,2020,M018
T000198,U01358,2021-09-03,Utilities,Online,UPI,472.12,Success,2021-09,2021,M005
T000199,U02944,2021-01-29,Education,Online,UPI,660.85,Success,2021-01,2021,M020
T000200,U02857,2020-07-09,Fuel,Online,QR Code,3416.55,Success,2020-07,2020,M006
T000201,U01896,2025-03-12,Mobile Recharge,Small Business,Online Payment,22.01,Success,2025-03,2025,M002
T000202,U01820,2025-11-23,Travel,Small Business,QR Code,38.07,Success,2025-11,2025,M008
T000203,U04234,2020-01-07,Entertainment,Offline,Online Payment,27.91,Success,2020-01,2020,M005
T000204,U02166,2023-01-09,Grocery,Offline,UPI,56.01,Success,2023-01,2023,M020
T000205,U00637,2025-07-28,Bills,Small Business,UPI,214.28,Success,2025-07,2025,M002
T000206,U01204,2021-10-13,Grocery,Small Business,Bill Payment,336.25,Failed,2021-10,2021,M004
T000207,U04318,2023-10-12,Education,Offline,QR Code,26.52,Success,2023-10,2023,M015
T000208,U01394,2023-08-27,Utilities,Small Business,UPI,65.85,Success,2023-08,2023,M018
T000209,U04256,2022-03-12,Travel,Offline,UPI,233.3,Success,2022-03,2022,M011
T000210,U01228,2021-03-24,Utilities,Large Merchant,QR Code,149.9,Success,2021-03,2021,M015
T000211,U02605,2026-05-21,Shopping,Offline,Bill Payment,130.73,Success,2026-05,2026,M008
T000212,U00528,2025-10-22,Grocery,Small Business,QR Code,289.84,Success,2025-10,2025,M006
T000213,U04713,2025-06-07,Entertainment,Small Business,UPI,61.06,Success,2025-06,2025,M017
T000214,U01681,2020-02-14,Other,Online,Bill Payment,211.73,Success,2020-02,2020,M020
T000215,U00215,2024-04-01,Utilities,Offline,UPI,357.78,Success,2024-04,2024,M016
T000216,U01942,2024-01-20,Bills,Offline,Bill Payment,109.49,Success,2024-01,2024,M015
T000217,U04786,2025-07-15,Mobile Recharge,Online,Online Payment,83.02,Failed,2025-07,2025,M013
T000218,U04834,2021-07-28,Healthcare,Offline,UPI,91.92,Success,2021-07,2021,M001
T000219,U03129,2023-12-01,Bills,Offline,UPI,367.9,Success,2023-12,2023,M003
T000220,U04869,2020-04-02,Mobile Recharge,Online,QR Code,223.27,Success,2020-04,2020,M017
T000221,U01510,2026-06-27,Bills,Offline,UPI,145.91,Success,2026-06,2026,M012
T000222,U01439,2021-08-26,Shopping,Online,Online Payment,85.88,Success,2021-08,2021,M009
T000223,U01455,2020-11-22,Healthcare,Online,UPI,572.24,Success,2020-11,2020,M006
T000224,U03203,2025-02-09,Food & Dining,Offline,Recharge,72.39,Success,2025-02,2025,M020
T000225,U01976,2025-01-20,Education,Small Business,UPI,527.35,Success,2025-01,2025,M008
T000226,U03090,2021-08-13,Mobile Recharge,Offline,UPI,489.7,Success,2021-08,2021,M001
T000227,U04239,2023-12-09,Fuel,Offline,Online Payment,281.73,Success,2023-12,2023,M019
T000228,U01330,2022-04-30,Food & Dining,Offline,QR Code,373.9,Success,2022-04,2022,M012
T000229,U04513,2021-03-15,Travel,Offline,UPI,259.14,Success,2021-03,2021,M014
T000230,U01564,2020-11-23,Shopping,Offline,UPI,152.56,Success,2020-11,2020,M002
T000231,U04910,2023-07-04,Grocery,Offline,QR Code,166.97,Success,2023-07,2023,M006
T000232,U03185,2024-07-23,Shopping,Online,QR Code,435.86,Success,2024-07,2024,M004
T000233,U02676,2024-04-26,Education,Small Business,QR Code,52.35,Success,2024-04,2024,M011
T000234,U02888,2023-01-02,Fuel,Large Merchant,UPI,360.94,Failed,2023-01,2023,M010
T000235,U03448,2023-06-11,Mobile Recharge,Offline,UPI,470.12,Success,2023-06,2023,M012
T000236,U01787,2024-03-24,Shopping,Offline,UPI,318.02,Success,2024-03,2024,M001
T000237,U01649,2025-03-20,Food & Dining,Small Business,Online Payment,633.71,Success,2025-03,2025,M010
T000238,U01118,2024-04-15,Mobile Recharge,Online,QR Code,215.79,Success,2024-04,2024,M004
T000239,U00455,2024-12-20,Other,Online,UPI,597.78,Success,2024-12,2024,M016
T000240,U03767,2026-03-26,Education,Online,UPI,517.7,Success,2026-03,2026,M013
T000241,U03221,2023-12-21,Food & Dining,Online,UPI,64.44,Failed,2023-12,2023,M009
T000242,U03640,2025-08-09,Education,Online,UPI,52.71,Success,2025-08,2025,M003
T000243,U00078,2022-01-13,Shopping,Large Merchant,UPI,226.27,Success,2022-01,2022,M009
T000244,U00647,2022-03-21,Mobile Recharge,Online,UPI,459.07,Success,2022-03,2022,M005
T000245,U01103,2024-10-18,Utilities,Offline,Recharge,210.17,Success,2024-10,2024,M013
T000246,U04936,2020-06-22,Other,Offline,QR Code,327.3,Success,2020-06,2020,M003
T000247,U00248,2023-01-03,Other,Offline,Bill Payment,429.18,Success,2023-01,2023,M016
T000248,U03760,2023-01-27,Grocery,Offline,UPI,83.86,Success,2023-01,2023,M019
T000249,U03293,2025-08-04,Other,Offline,UPI,218.61,Success,2025-08,2025,M009
T000250,U01151,2023-06-10,Entertainment,Offline,Online Payment,662.54,Success,2023-06,2023,M012
T000251,U01939,2025-12-16,Travel,Offline,QR Code,547.56,Success,2025-12,2025,M012
T000252,U05000,2020-08-23,Utilities,Large Merchant,QR Code,1400.32,Success,2020-08,2020,M007
T000253,U00414,2025-02-10,Shopping,Large Merchant,QR Code,406.02,Success,2025-02,2025,M010
T000254,U03691,2022-01-11,Education,Offline,UPI,147.57,Success,2022-01,2022,M012
T000255,U00676,2026-02-15,Bills,Online,UPI,155.32,Success,2026-02,2026,M012
T000256,U03250,2026-01-24,Travel,Small Business,UPI,687.78,Success,2026-01,2026,M017
T000257,U02130,2024-08-19,Travel,Offline,UPI,394.14,Success,2024-08,2024,M020
T000258,U01410,2020-10-17,Entertainment,Offline,UPI,410.21,Success,2020-10,2020,M016
T000259,U01710,2023-11-19,Shopping,Offline,UPI,136.43,Success,2023-11,2023,M009
T000260,U00333,2024-02-06,Utilities,Large Merchant,QR Code,693.06,Success,2024-02,2024,M004
T000261,U02344,2025-12-26,Shopping,Offline,QR Code,280.84,Success,2025-12,2025,M019
T000262,U00441,2023-04-29,Food & Dining,Offline,QR Code,105.27,Success,2023-04,2023,M013
T000263,U04808,2025-06-11,Mobile Recharge,Online,Bill Payment,187.19,Success,2025-06,2025,M016
T000264,U04591,2021-07-21,Healthcare,Offline,QR Code,1863.15,Success,2021-07,2021,M020
T000265,U00529,2024-03-22,Utilities,Online,UPI,221.11,Success,2024-03,2024,M004
T000266,U01818,2022-12-10,Food & Dining,Offline,UPI,280.08,Success,2022-12,2022,M014
T000267,U03623,2026-06-03,Other,Online,UPI,57.99,Success,2026-06,2026,M015
T000268,U02243,2026-04-22,Utilities,Large Merchant,QR Code,136.15,Success,2026-04,2026,M010
T000269,U02546,2020-11-04,Bills,Online,QR Code,727.2,Success,2020-11,2020,M017
T000270,U04249,2025-11-08,Other,Large Merchant,UPI,41.72,Success,2025-11,2025,M016
T000271,U04440,2026-01-05,Mobile Recharge,Offline,Online Payment,131.09,Success,2026-01,2026,M018
T000272,U04212,2021-04-06,Other,Large Merchant,UPI,52.76,Success,2021-04,2021,M001
T000273,U03031,2021-09-26,Grocery,Offline,UPI,249.48,Success,2021-09,2021,M019
T000274,U03998,2021-09-28,Other,Online,UPI,207.08,Success,2021-09,2021,M014
T000275,U00104,2021-10-07,Shopping,Online,UPI,285.65,Success,2021-10,2021,M004
T000276,U02296,2021-06-01,Education,Offline,Recharge,398.33,Success,2021-06,2021,M005
T000277,U00987,2025-04-02,Entertainment,Large Merchant,UPI,109.66,Success,2025-04,2025,M011
T000278,U00364,2023-10-28,Healthcare,Small Business,Recharge,227.45,Success,2023-10,2023,M020
T000279,U02732,2020-07-08,Travel,Offline,QR Code,2517.63,Success,2020-07,2020,M004
T000280,U01865,2020-03-19,Mobile Recharge,Offline,Bill Payment,115.87,Success,2020-03,2020,M018
T000281,U01410,2024-04-19,Bills,Offline,QR Code,1791.24,Success,2024-04,2024,M009
T000282,U04984,2022-03-26,Fuel,Offline,QR Code,191.39,Success,2022-03,2022,M015
T000283,U01173,2025-03-20,Entertainment,Small Business,Recharge,50.87,Success,2025-03,2025,M012
T000284,U01227,2020-03-12,Education,Offline,Online Payment,1017.36,Success,2020-03,2020,M008
T000285,U03446,2025-09-21,Bills,Small Business,UPI,535.02,Success,2025-09,2025,M011
T000286,U03097,2022-03-13,Fuel,Offline,QR Code,342.55,Success,2022-03,2022,M014
T000287,U00965,2023-02-03,Food & Dining,Offline,UPI,137.62,Success,2023-02,2023,M012
T000288,U01814,2024-08-21,Mobile Recharge,Offline,UPI,566.91,Success,2024-08,2024,M011
T000289,U03525,2025-08-17,Healthcare,Small Business,Bill Payment,1028.21,Success,2025-08,2025,M007
T000290,U02059,2024-12-02,Grocery,Offline,Bill Payment,86.38,Success,2024-12,2024,M010
T000291,U04012,2025-10-28,Fuel,Large Merchant,UPI,84.78,Success,2025-10,2025,M015
T000292,U01285,2021-11-19,Grocery,Small Business,Bill Payment,32.02,Success,2021-11,2021,M014
T000293,U02273,2021-07-29,Grocery,Small Business,UPI,233.3,Success,2021-07,2021,M002
